comparison,metric,iterations,bootstrap_mean_difference,ci95_low,ci95_high,includes_zero,seed,direction
fine_direct_minus_material_direct,ap50,2000,-0.0324328494892818,-0.0789030056625547,0.0084222961106383,True,42,negative
fine_direct_minus_material_direct,map50_95,2000,-0.0122204922615193,-0.0485070695366956,0.0193666301826668,True,42,negative
fine_direct_minus_material_direct,f1,2000,-0.0551871859847229,-0.1176016202359701,-0.0008270761171468,False,42,negative
fine_as_material_minus_fine_direct,ap50,2000,0.0724288462087109,0.0260143199560221,0.1268305913781699,False,42,positive
fine_as_material_minus_fine_direct,map50_95,2000,0.0443668846192147,0.0069225670405909,0.085890152982707,False,42,positive
fine_as_material_minus_fine_direct,f1,2000,0.096610049824924,0.0398877354977266,0.1635045402467274,False,42,positive
fine_as_binary_minus_fine_direct,ap50,2000,0.3570552597953662,0.3048081275740956,0.4092812897597173,False,42,positive
fine_as_binary_minus_fine_direct,map50_95,2000,0.232399681471394,0.1895425096081736,0.2775627307686371,False,42,positive
fine_as_binary_minus_fine_direct,f1,2000,0.3284917242797969,0.2800847867441237,0.3774353372741158,False,42,positive
fine_direct_minus_material_direct,ap50,2000,-0.07542721100100985,-0.14753517485558032,-0.014081880003905653,False,123,negative
fine_direct_minus_material_direct,map50_95,2000,-0.05427338505093188,-0.11274130434816679,-0.0036660328378924334,False,123,negative
fine_direct_minus_material_direct,f1,2000,-0.10452628556935249,-0.19598374337856192,-0.022411520285701324,False,123,negative
fine_as_material_minus_fine_direct,ap50,2000,0.07735247867497719,0.026577109060423182,0.1423336202538714,False,123,positive
fine_as_material_minus_fine_direct,map50_95,2000,0.045541403660286535,0.007013100117507095,0.0938381013340732,False,123,positive
fine_as_material_minus_fine_direct,f1,2000,0.10989167660286953,0.04405733740488229,0.19553371545190465,False,123,positive
fine_as_binary_minus_fine_direct,ap50,2000,0.3497261608664197,0.2917286115374591,0.4042086014874574,False,123,positive
fine_as_binary_minus_fine_direct,map50_95,2000,0.23262502218491096,0.1840456057346615,0.2768809491374635,False,123,positive
fine_as_binary_minus_fine_direct,f1,2000,0.31831838055447953,0.2613066860826363,0.37048206779620163,False,123,positive
fine_direct_minus_material_direct,ap50,2000,-0.04396302167952113,-0.0993174256338879,0.0038604973303863932,True,2026,negative
fine_direct_minus_material_direct,map50_95,2000,-0.019176994996395195,-0.06060736890797822,0.016834068136788383,True,2026,negative
fine_direct_minus_material_direct,f1,2000,-0.0625217439904764,-0.1296602249025347,-0.006982991188612748,False,2026,negative
fine_as_material_minus_fine_direct,ap50,2000,0.05385028239737517,0.008247361800993926,0.11318828495910603,False,2026,positive
fine_as_material_minus_fine_direct,map50_95,2000,0.027851376413265672,-0.008116974785581363,0.07290338086990332,True,2026,positive
fine_as_material_minus_fine_direct,f1,2000,0.09638737913442313,0.034963654373801084,0.1728189043872341,False,2026,positive
fine_as_binary_minus_fine_direct,ap50,2000,0.32718680198209815,0.2718996762885367,0.3829829089852873,False,2026,positive
fine_as_binary_minus_fine_direct,map50_95,2000,0.2121953188774067,0.16798386731338064,0.25870612318409714,False,2026,positive
fine_as_binary_minus_fine_direct,f1,2000,0.3074206505438727,0.2558906734933913,0.3586679495580555,False,2026,positive
