category_id,category,instances
59,Cigarette,667
58,Unlabeled litter,517
36,Plastic film,451
5,Clear plastic bottle,285
29,Other plastic,273
39,Other plastic wrapper,260
12,Drink can,229
7,Plastic bottle cap,209
55,Plastic straw,157
9,Broken glass,138
57,Styrofoam piece,112
21,Disposable plastic cup,104
6,Glass bottle,104
50,Pop tab,99
14,Other carton,93
33,Normal paper,82
8,Metal bottle cap,80
27,Plastic lid,77
20,Paper cup,67
17,Corrugated carton,64
0,Aluminium foil,62
40,Single-use carrier bag,61
4,Other plastic bottle,50
16,Drink carton,45
31,Tissues,42
42,Crisp packet,39
45,Disposable food container,38
49,Plastic utensils,37
10,Food Can,34
38,Garbage bag,31
18,Meal carton,30
51,Rope & strings,29
34,Paper bag,27
52,Scrap metal,20
46,Foam food container,15
22,Foam cup,13
30,Magazine paper,12
32,Wrapping paper,12
15,Egg carton,11
11,Aerosol,10
28,Metal lid,10
43,Spread tub,9
25,Food waste,8
53,Shoe,7
54,Squeezable tube,7
2,Aluminium blister pack,6
23,Glass cup,6
26,Glass jar,6
47,Other plastic container,6
37,Six pack rings,5
13,Toilet tube,5
56,Paper straw,4
48,Plastic glooves,4
44,Tupperware,4
19,Pizza box,3
41,Polypropylene bag,3
1,Battery,2
24,Other plastic cup,2
3,Carded blister pack,1
35,Plastified paper bag,0
