class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Aluminium foil,7,0.2,0.14285714285714285,0.16666666666666666,0.0297029702970297,0.026732673267326736
1,Battery,0,0.0,0.0,0.0,nan,nan
2,Aluminium blister pack,0,0.0,0.0,0.0,nan,nan
3,Carded blister pack,0,0.0,0.0,0.0,nan,nan
4,Other plastic bottle,10,0.18181818181818182,0.2,0.1904761904761905,0.1269126912691269,0.10882088208820881
5,Clear plastic bottle,30,0.5428571428571428,0.6333333333333333,0.5846153846153846,0.5158785326689826,0.42503996824127643
6,Glass bottle,11,0.5,0.09090909090909091,0.15384615384615385,0.07782774722290456,0.05433056328556769
7,Plastic bottle cap,29,0.5263157894736842,0.3448275862068966,0.4166666666666667,0.326565439295585,0.1948282290492074
8,Metal bottle cap,8,0.1875,0.375,0.25,0.07054455445544554,0.06082358235823582
9,Broken glass,4,0.0,0.0,0.0,0.0,0.0
10,Food Can,1,0.0,0.0,0.0,0.0,0.0
11,Aerosol,0,0.0,0.0,0.0,nan,nan
12,Drink can,24,0.43333333333333335,0.5416666666666666,0.4814814814814815,0.3997331338485019,0.30908743557419643
13,Toilet tube,0,0.0,0.0,0.0,nan,nan
14,Other carton,15,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.0231023102310231,0.01155115511551155
15,Egg carton,1,0.0,0.0,0.0,0.0,0.0
16,Drink carton,9,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.019801980198019802,0.0198019801980198
17,Corrugated carton,13,0.625,0.38461538461538464,0.4761904761904762,0.41759458866356003,0.3489319753357344
18,Meal carton,4,0.0,0.0,0.0,0.0,0.0
19,Pizza box,0,0.0,0.0,0.0,nan,nan
20,Paper cup,13,0.6666666666666666,0.15384615384615385,0.25,0.20139219600822092,0.1734107149022313
21,Disposable plastic cup,19,0.1206896551724138,0.3684210526315789,0.1818181818181818,0.1102765448958689,0.10134682040168035
22,Foam cup,5,0.0,0.0,0.0,0.0,0.0
23,Glass cup,1,0.0,0.0,0.0,0.0,0.0
24,Other plastic cup,0,0.0,0.0,0.0,nan,nan
25,Food waste,1,0.0,0.0,0.0,0.0,0.0
26,Glass jar,0,0.0,0.0,0.0,nan,nan
27,Plastic lid,14,0.6,0.21428571428571427,0.3157894736842105,0.14059405940594058,0.11841584158415841
28,Metal lid,3,0.0,0.0,0.0,0.0,0.0
29,Other plastic,60,0.1125,0.15,0.1285714285714286,0.04306896484417053,0.03442270569370075
30,Magazine paper,0,0.0,0.0,0.0,nan,nan
31,Tissues,8,0.0,0.0,0.0,0.0,0.0
32,Wrapping paper,2,0.0,0.0,0.0,0.0,0.0
33,Normal paper,18,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.07355021216407355,0.06404526166902405
34,Paper bag,5,0.5,0.4,0.4444444444444445,0.20297029702970298,0.1524752475247525
35,Plastified paper bag,0,0.0,0.0,0.0,nan,nan
36,Plastic film,53,0.3076923076923077,0.37735849056603776,0.33898305084745767,0.22335870917292058,0.12698814196442826
37,Six pack rings,3,0.0,0.0,0.0,0.0,0.0
38,Garbage bag,7,0.2,0.2857142857142857,0.23529411764705882,0.057425742574257435,0.008449547082367812
39,Other plastic wrapper,32,0.40625,0.40625,0.40625,0.2791788406970232,0.21101201195807087
40,Single-use carrier bag,12,0.0,0.0,0.0,0.0,0.0
41,Polypropylene bag,0,0.0,0.0,0.0,nan,nan
42,Crisp packet,3,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.0374037403740374,0.02992299229922992
43,Spread tub,1,0.0,0.0,0.0,0.0,0.0
44,Tupperware,1,0.0,0.0,0.0,0.0,0.0
45,Disposable food container,3,0.0,0.0,0.0,0.0,0.0
46,Foam food container,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.698727015558699,0.698727015558699
47,Other plastic container,0,0.0,0.0,0.0,nan,nan
48,Plastic glooves,1,0.0,0.0,0.0,0.0,0.0
49,Plastic utensils,2,0.0,0.0,0.0,0.0,0.0
50,Pop tab,9,0.0,0.0,0.0,0.0,0.0
51,Rope & strings,3,0.0,0.0,0.0,0.0,0.0
52,Scrap metal,4,0.0,0.0,0.0,0.0,0.0
53,Shoe,1,0.0,0.0,0.0,0.0,0.0
54,Squeezable tube,1,0.0,0.0,0.0,0.0,0.0
55,Plastic straw,15,0.2222222222222222,0.26666666666666666,0.2424242424242424,0.13399354524311846,0.10117449066578463
56,Paper straw,1,0.0,0.0,0.0,0.0,0.0
57,Styrofoam piece,10,0.6,0.3,0.4,0.21602160216021596,0.21242124212421237
58,Unlabeled litter,76,0.3170731707317073,0.17105263157894737,0.2222222222222222,0.11088005514419376,0.05605597528441297
59,Cigarette,81,0.17647058823529413,0.14814814814814814,0.1610738255033557,0.056682509798419003,0.027760178579900825
