class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Aluminium foil,7,0.5,0.2857142857142857,0.36363636363636365,0.21782178217821782,0.17425742574257425
1,Battery,0,0.0,0.0,0.0,nan,nan
2,Aluminium blister pack,0,0.0,0.0,0.0,nan,nan
3,Carded blister pack,0,0.0,0.0,0.0,nan,nan
4,Other plastic bottle,10,1.0,0.1,0.18181818181818182,0.10891089108910891,0.10891089108910892
5,Clear plastic bottle,30,0.8947368421052632,0.5666666666666667,0.6938775510204083,0.6375985566466512,0.5117465041856784
6,Glass bottle,11,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.2314184359612432,0.15823494114117295
7,Plastic bottle cap,29,0.631578947368421,0.41379310344827586,0.5,0.3970051125699831,0.2985153392665092
8,Metal bottle cap,8,0.5,0.375,0.42857142857142855,0.2739273927392739,0.20297029702970293
9,Broken glass,4,0.0,0.0,0.0,0.0,0.0
10,Food Can,1,0.0,0.0,0.0,0.0,0.0
11,Aerosol,0,0.0,0.0,0.0,nan,nan
12,Drink can,24,0.6470588235294118,0.4583333333333333,0.5365853658536585,0.4395045287679672,0.34926260056522607
13,Toilet tube,0,0.0,0.0,0.0,nan,nan
14,Other carton,15,0.04878048780487805,0.13333333333333333,0.07142857142857142,0.007712509055783628,0.0048176768896401835
15,Egg carton,1,0.0,0.0,0.0,0.0,0.0
16,Drink carton,9,0.4,0.2222222222222222,0.2857142857142857,0.0910891089108911,0.07881188118811883
17,Corrugated carton,13,0.1724137931034483,0.38461538461538464,0.23809523809523808,0.07592208139211865,0.05038168648734653
18,Meal carton,4,0.0,0.0,0.0,0.0,0.0
19,Pizza box,0,0.0,0.0,0.0,nan,nan
20,Paper cup,13,0.3333333333333333,0.3076923076923077,0.32,0.1559064014509559,0.131999226949722
21,Disposable plastic cup,19,0.42857142857142855,0.15789473684210525,0.23076923076923078,0.10183875530410183,0.10183875530410183
22,Foam cup,5,0.125,0.2,0.15384615384615385,0.02599009900990099,0.02079207920792079
23,Glass cup,1,0.0,0.0,0.0,0.0,0.0
24,Other plastic cup,0,0.0,0.0,0.0,nan,nan
25,Food waste,1,0.0,0.0,0.0,0.0,0.0
26,Glass jar,0,0.0,0.0,0.0,nan,nan
27,Plastic lid,14,0.75,0.21428571428571427,0.3333333333333333,0.20764576457645764,0.18309049654965498
28,Metal lid,3,0.0,0.0,0.0,0.0,0.0
29,Other plastic,60,0.14457831325301204,0.2,0.16783216783216784,0.08485807783607124,0.0648373275600962
30,Magazine paper,0,0.0,0.0,0.0,nan,nan
31,Tissues,8,0.08695652173913043,0.25,0.12903225806451613,0.022384847180370215,0.01792390325989121
32,Wrapping paper,2,0.0,0.0,0.0,0.0,0.0
33,Normal paper,18,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.09900990099009901,0.08514851485148515
34,Paper bag,5,1.0,0.2,0.33333333333333337,0.2079207920792079,0.20792079207920794
35,Plastified paper bag,0,0.0,0.0,0.0,nan,nan
36,Plastic film,53,0.38461538461538464,0.18867924528301888,0.25316455696202533,0.13085476627009301,0.07213887491979766
37,Six pack rings,3,0.0,0.0,0.0,0.0,0.0
38,Garbage bag,7,1.0,0.2857142857142857,0.4444444444444445,0.32966629996332963,0.11552530253025299
39,Other plastic wrapper,32,0.4117647058823529,0.4375,0.42424242424242425,0.24767121460180255,0.18773717441647672
40,Single-use carrier bag,12,0.5,0.25,0.3333333333333333,0.14538822303282958,0.10010422094841062
41,Polypropylene bag,0,0.0,0.0,0.0,nan,nan
42,Crisp packet,3,0.05405405405405406,0.6666666666666666,0.1,0.03585763981803586,0.02235814315022236
43,Spread tub,1,0.0,0.0,0.0,0.0,0.0
44,Tupperware,1,0.0,0.0,0.0,0.0,0.0
45,Disposable food container,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1122112211221122,0.1122112211221122
46,Foam food container,3,1.0,0.3333333333333333,0.5,0.42998585572842996,0.4113154172560113
47,Other plastic container,0,0.0,0.0,0.0,nan,nan
48,Plastic glooves,1,0.0,0.0,0.0,0.0,0.0
49,Plastic utensils,2,0.0,0.0,0.0,0.0,0.0
50,Pop tab,9,0.0,0.0,0.0,0.0,0.0
51,Rope & strings,3,0.0,0.0,0.0,0.0,0.0
52,Scrap metal,4,0.0,0.0,0.0,0.0,0.0
53,Shoe,1,0.0,0.0,0.0,0.0,0.0
54,Squeezable tube,1,0.0,0.0,0.0,0.0,0.0
55,Plastic straw,15,0.5,0.13333333333333333,0.2105263157894737,0.13198319831983196,0.11327932793279327
56,Paper straw,1,0.0,0.0,0.0,0.0,0.0
57,Styrofoam piece,10,0.25,0.3,0.2727272727272727,0.13217821782178216,0.12722772277227717
58,Unlabeled litter,76,0.17796610169491525,0.27631578947368424,0.21649484536082475,0.10498341746479366,0.05806842069625436
59,Cigarette,81,0.4,0.04938271604938271,0.0879120879120879,0.05210392074583568,0.029937104849460154
